0,MEROPS,Orthogroup
mpi|P11|170032|Fgenesh_Torrubiella_hemipterigena|contig_17_gene_32,A2,OG0000000
mpi|P11|1800192|Fgenesh_Torrubiella_hemipterigena|contig_18_gene_192,A2,OG0000000
mpi|P11|1400143|Fgenesh_Torrubiella_hemipterigena|contig_14_gene_143,A2,OG0000000
mpi|P11|1100198|Fgenesh_Torrubiella_hemipterigena|contig_11_gene_198,A2,OG0000000
mpi|P11|1100200|Fgenesh_Torrubiella_hemipterigena|contig_11_gene_200,A2,OG0000000
mpi|P11|15002|Fgenesh_Torrubiella_hemipterigena|contig_15_gene_2,A2,OG0000000
mpi|P11|15003|Fgenesh_Torrubiella_hemipterigena|contig_15_gene_3,A2,OG0000000
mpi|P11|600382|Fgenesh_Torrubiella_hemipterigena|contig_6_gene_382,A2,OG0000000
mpi|P24|100511|Fgenesh_Torrubiella_hemipterigena|contig_1_gene_511,"A2,A28,A32",OG0000000
mpi|P24|4500254|Fgenesh_Torrubiella_hemipterigena|contig_45_gene_254,"A2,A28,A32",OG0000000
mpi|P24|4500343|Fgenesh_Torrubiella_hemipterigena|contig_45_gene_343,"A2,A28,A32",OG0000000
mpi|P24|200106|Fgenesh_Torrubiella_hemipterigena|contig_2_gene_106,"A2,A28,A32",OG0000000
mpi|P35|70019|Fgenesh_Torrubiella_hemipterigena|contig_7_gene_19,"A2,A28,A32",OG0000000
mpi|P29|80019|Fgenesh_Torrubiella_hemipterigena|contig_8_gene_19,A2,OG0000000
mpi|P29|1600180|Fgenesh_Torrubiella_hemipterigena|contig_16_gene_180,"A2,A28,A32",OG0000000
mpi|P29|1700288|Fgenesh_Torrubiella_hemipterigena|contig_17_gene_288,"A2,A28,A32",OG0000000
mpi|P612|22009|Fgenesh_Torrubiella_hemipterigena|contig_22_gene_9,A2,OG0000000
mpi|P612|42009|Fgenesh_Torrubiella_hemipterigena|contig_42_gene_9,A2,OG0000000
mpi|P612|26009|Fgenesh_Torrubiella_hemipterigena|contig_26_gene_9,A2,OG0000000
mpi|P612|250017|Fgenesh_Torrubiella_hemipterigena|contig_25_gene_17,A2,OG0000000
mpi|P612|250060|Fgenesh_Torrubiella_hemipterigena|contig_25_gene_60,A2,OG0000000
mpi|P612|670010|Fgenesh_Torrubiella_hemipterigena|contig_67_gene_10,A2,OG0000000
mpi|P612|73001|Fgenesh_Torrubiella_hemipterigena|contig_73_gene_1,A2,OG0000000
mpi|P612|720011|Fgenesh_Torrubiella_hemipterigena|contig_72_gene_11,A2,OG0000000
mpi|P612|3100413|Fgenesh_Torrubiella_hemipterigena|contig_31_gene_413,A2,OG0000000
mpi|P612|50001|Fgenesh_Torrubiella_hemipterigena|contig_50_gene_1,A2,OG0000000
mpi|P612|1500641|Fgenesh_Torrubiella_hemipterigena|contig_15_gene_641,A2,OG0000000
mpi|P612|1500644|Fgenesh_Torrubiella_hemipterigena|contig_15_gene_644,A2,OG0000000
mpi|P612|6200209|Fgenesh_Torrubiella_hemipterigena|contig_62_gene_209,A2,OG0000000
mpi|P612|6200256|Fgenesh_Torrubiella_hemipterigena|contig_62_gene_256,A2,OG0000000
mpi|P612|5900627|Fgenesh_Torrubiella_hemipterigena|contig_59_gene_627,"A2,A28,A32",OG0000000
mpi|P612|5900628|Fgenesh_Torrubiella_hemipterigena|contig_59_gene_628,"A2,A28,A32",OG0000000
mpi|P612|4500217|Fgenesh_Torrubiella_hemipterigena|contig_45_gene_217,A2,OG0000000
mpi|P68|130032|Fgenesh_Torrubiella_hemipterigena|contig_13_gene_32,A2,OG0000000
mpi|P68|390041|Fgenesh_Torrubiella_hemipterigena|contig_39_gene_41,A2,OG0000000
mpi|P68|350031|Fgenesh_Torrubiella_hemipterigena|contig_35_gene_31,"A2,A28,A32",OG0000000
mpi|P68|40015|Fgenesh_Torrubiella_hemipterigena|contig_4_gene_15,A2,OG0000000
mpi|P68|36004|Fgenesh_Torrubiella_hemipterigena|contig_36_gene_4,"A2,A28,A32",OG0000000
mpi|P68|36005|Fgenesh_Torrubiella_hemipterigena|contig_36_gene_5,"A2,A28,A32",OG0000000
mpi|P68|2001|Fgenesh_Torrubiella_hemipterigena|contig_2_gene_1,A2,OG0000000
mpi|P68|20032|Fgenesh_Torrubiella_hemipterigena|contig_2_gene_32,"A2,A28,A32",OG0000000
mpi|P68|20033|Fgenesh_Torrubiella_hemipterigena|contig_2_gene_33,"A2,A28,A32",OG0000000
mpi|P68|20042|Fgenesh_Torrubiella_hemipterigena|contig_2_gene_42,A2,OG0000000
mpi|P68|7001|Fgenesh_Torrubiella_hemipterigena|contig_7_gene_1,"A2,A28,A32",OG0000000
mpi|P68|700260|Fgenesh_Torrubiella_hemipterigena|contig_7_gene_260,A2,OG0000000
mpi|P68|30060|Fgenesh_Torrubiella_hemipterigena|contig_3_gene_60,A2,OG0000000
mpi|P68|1000237|Fgenesh_Torrubiella_hemipterigena|contig_10_gene_237,"A2,A28,A32",OG0000000
mpi|P68|1000238|Fgenesh_Torrubiella_hemipterigena|contig_10_gene_238,A2,OG0000000
mpi|P68|450045|Fgenesh_Torrubiella_hemipterigena|contig_45_gene_45,A2,OG0000000
mpi|P68|4500293|Fgenesh_Torrubiella_hemipterigena|contig_45_gene_293,A2,OG0000000
mpi|P68|4200597|Fgenesh_Torrubiella_hemipterigena|contig_42_gene_597,"A2,A28,A32",OG0000000
mpi|P68|900324|Fgenesh_Torrubiella_hemipterigena|contig_9_gene_324,A2,OG0000000
mpi|P68|80016|Fgenesh_Torrubiella_hemipterigena|contig_8_gene_16,A2,OG0000000
mpi|P68|800301|Fgenesh_Torrubiella_hemipterigena|contig_8_gene_301,A2,OG0000000
mpi|P68|600849|Fgenesh_Torrubiella_hemipterigena|contig_6_gene_849,A2,OG0000000
mpi|P455|7001575|Fgenesh_Torrubiella_hemipterigena|contig_7_gene_1575,"A2,A28,A32",OG0000000
mpi|P455|1001|Fgenesh_Torrubiella_hemipterigena|contig_1_gene_1,A2,OG0000000
mpi|P455|10042|Fgenesh_Torrubiella_hemipterigena|contig_1_gene_42,"A2,A28,A32",OG0000000
mpi|P455|100233|Fgenesh_Torrubiella_hemipterigena|contig_1_gene_233,"A2,A28,A32",OG0000000
mpi|P455|9002|Fgenesh_Torrubiella_hemipterigena|contig_9_gene_2,"A2,A28,A32",OG0000000
mpi|P455|9002212|Fgenesh_Torrubiella_hemipterigena|contig_9_gene_2212,"A2,A28,A32",OG0000000
mpi|P455|5003|Fgenesh_Torrubiella_hemipterigena|contig_5_gene_3,"A2,A28,A32",OG0000000
mpi|P455|5004|Fgenesh_Torrubiella_hemipterigena|contig_5_gene_4,"A2,A28,A32",OG0000000
mpi|P25|2002|Fgenesh_Torrubiella_hemipterigena|contig_2_gene_2,"A2,A28,A32",OG0000000
mpi|P25|400144|Fgenesh_Torrubiella_hemipterigena|contig_4_gene_144,"A2,A28,A32",OG0000000
mpi|P25|400145|Fgenesh_Torrubiella_hemipterigena|contig_4_gene_145,"A2,A28,A32",OG0000000
mpi|P25|7002|Fgenesh_Torrubiella_hemipterigena|contig_7_gene_2,"A2,A28,A32",OG0000000
mpi|P25|72002|Fgenesh_Torrubiella_hemipterigena|contig_72_gene_2,"A2,A28,A32",OG0000000
mpi|P25|300562|Fgenesh_Torrubiella_hemipterigena|contig_3_gene_562,"A2,A28,A32",OG0000000
mpi|P25|300851|Fgenesh_Torrubiella_hemipterigena|contig_3_gene_851,"A2,A28,A32",OG0000000
mpi|P25|800804|Fgenesh_Torrubiella_hemipterigena|contig_8_gene_804,"A2,A28,A32",OG0000000
mpi|P41|110020|Fgenesh_Torrubiella_hemipterigena|contig_11_gene_20,"A2,A28,A32",OG0000000
mpi|P41|1100140|Fgenesh_Torrubiella_hemipterigena|contig_11_gene_140,"A2,A28,A32",OG0000000
mpi|P41|17001658|Fgenesh_Torrubiella_hemipterigena|contig_17_gene_1658,"A28,A32",OG0000000
mpi|P38|7006|Fgenesh_Torrubiella_hemipterigena|contig_7_gene_6,"A2,A28,A32",OG0000000
mpi|P38|7007|Fgenesh_Torrubiella_hemipterigena|contig_7_gene_7,"A2,A28,A32",OG0000000
mpi|P38|2500243|Fgenesh_Torrubiella_hemipterigena|contig_25_gene_243,"A2,A28,A32",OG0000000
mpi|P31|40001|Fgenesh_Torrubiella_hemipterigena|contig_40_gene_1,A2,OG0000000
mpi|P31|6001|Fgenesh_Torrubiella_hemipterigena|contig_6_gene_1,A2,OG0000000
mpi|P31|1900187|Fgenesh_Torrubiella_hemipterigena|contig_19_gene_187,A2,OG0000000
mpi|P31|20001|Fgenesh_Torrubiella_hemipterigena|contig_20_gene_1,A2,OG0000000
mpi|P31|500549|Fgenesh_Torrubiella_hemipterigena|contig_5_gene_549,A2,OG0000000
mpi|P31|400473|Fgenesh_Torrubiella_hemipterigena|contig_4_gene_473,A2,OG0000000
mpi|P31|1800680|Fgenesh_Torrubiella_hemipterigena|contig_18_gene_680,A2,OG0000000
mpi|P31|39001|Fgenesh_Torrubiella_hemipterigena|contig_39_gene_1,A2,OG0000000
mpi|P33|18004|Fgenesh_Torrubiella_hemipterigena|contig_18_gene_4,A2,OG0000000
mpi|P33|100045|Fgenesh_Torrubiella_hemipterigena|contig_10_gene_45,A2,OG0000000
mpi|P33|100063|Fgenesh_Torrubiella_hemipterigena|contig_10_gene_63,"A2,A28,A32",OG0000000
mpi|P33|120042|Fgenesh_Torrubiella_hemipterigena|contig_12_gene_42,A2,OG0000000
mpi|P33|1200379|Fgenesh_Torrubiella_hemipterigena|contig_12_gene_379,"A2,A28,A32",OG0000000
mpi|P33|600342|Fgenesh_Torrubiella_hemipterigena|contig_6_gene_342,"A2,A28,A32",OG0000000
mpi|P33|1100343|Fgenesh_Torrubiella_hemipterigena|contig_11_gene_343,A2,OG0000000
mpi|P33|1100370|Fgenesh_Torrubiella_hemipterigena|contig_11_gene_370,"A2,A28,A32",OG0000000
mpi|P33|1100372|Fgenesh_Torrubiella_hemipterigena|contig_11_gene_372,A2,OG0000000
mpi|P33|1100375|Fgenesh_Torrubiella_hemipterigena|contig_11_gene_375,"A2,A28,A32",OG0000000
mpi|P33|1100377|Fgenesh_Torrubiella_hemipterigena|contig_11_gene_377,A2,OG0000000
mpi|P33|1300710|Fgenesh_Torrubiella_hemipterigena|contig_13_gene_710,A2,OG0000000
mpi|P33|20010|Fgenesh_Torrubiella_hemipterigena|contig_2_gene_10,A2,OG0000000
mpi|P33|200839|Fgenesh_Torrubiella_hemipterigena|contig_2_gene_839,A2,OG0000000
mpi|P33|2002437|Fgenesh_Torrubiella_hemipterigena|contig_2_gene_2437,A2,OG0000000
mpi|P22|1600242|Fgenesh_Torrubiella_hemipterigena|contig_16_gene_242,A2,OG0000000
mpi|P22|900356|Fgenesh_Torrubiella_hemipterigena|contig_9_gene_356,A2,OG0000000
mpi|P22|300648|Fgenesh_Torrubiella_hemipterigena|contig_3_gene_648,A2,OG0000000
mpi|P22|300649|Fgenesh_Torrubiella_hemipterigena|contig_3_gene_649,A2,OG0000000
mpi|P22|300668|Fgenesh_Torrubiella_hemipterigena|contig_3_gene_668,A2,OG0000000
mpi|P22|300669|Fgenesh_Torrubiella_hemipterigena|contig_3_gene_669,A2,OG0000000
mpi|P22|500408|Fgenesh_Torrubiella_hemipterigena|contig_5_gene_408,A2,OG0000000
mpi|P22|13001924|Fgenesh_Torrubiella_hemipterigena|contig_13_gene_1924,A2,OG0000000
mpi|P22|13001925|Fgenesh_Torrubiella_hemipterigena|contig_13_gene_1925,A2,OG0000000
mpi|P27|160018|Fgenesh_Torrubiella_hemipterigena|contig_16_gene_18,"A2,A28,A32",OG0000000
mpi|P27|40041|Fgenesh_Torrubiella_hemipterigena|contig_4_gene_41,A2,OG0000000
mpi|P52|2700327|Fgenesh_Torrubiella_hemipterigena|contig_27_gene_327,"A2,A28,A32",OG0000000
mpi|P52|9001224|Fgenesh_Torrubiella_hemipterigena|contig_9_gene_1224,"A2,A28,A32",OG0000000
mpi|P52|9001225|Fgenesh_Torrubiella_hemipterigena|contig_9_gene_1225,"A2,A28,A32",OG0000000
mpi|P13|600176|Fgenesh_Torrubiella_hemipterigena|contig_6_gene_176,A2,OG0000000
mpi|P13|150085|Fgenesh_Torrubiella_hemipterigena|contig_15_gene_85,A2,OG0000000
mpi|P32|41002|Fgenesh_Torrubiella_hemipterigena|contig_41_gene_2,A2,OG0000000
mpi|P32|35002|Fgenesh_Torrubiella_hemipterigena|contig_35_gene_2,A2,OG0000000
mpi|P32|350030|Fgenesh_Torrubiella_hemipterigena|contig_35_gene_30,"A2,A28,A32",OG0000000
mpi|P32|1500361|Fgenesh_Torrubiella_hemipterigena|contig_15_gene_361,A2,OG0000000
mpi|P32|3900228|Fgenesh_Torrubiella_hemipterigena|contig_39_gene_228,A2,OG0000000
mpi|P32|3900558|Fgenesh_Torrubiella_hemipterigena|contig_39_gene_558,A2,OG0000000
mpi|P32|3700349|Fgenesh_Torrubiella_hemipterigena|contig_37_gene_349,A2,OG0000000
mpi|P32|1900964|Fgenesh_Torrubiella_hemipterigena|contig_19_gene_964,A2,OG0000000
mpi|P66|700142|Fgenesh_Torrubiella_hemipterigena|contig_7_gene_142,"A2,A28,A32",OG0000000
mpi|P66|100102|Fgenesh_Torrubiella_hemipterigena|contig_1_gene_102,"A2,A28,A32",OG0000000
mpi|P66|100103|Fgenesh_Torrubiella_hemipterigena|contig_1_gene_103,"A2,A28,A32",OG0000000
mpi|P66|1700478|Fgenesh_Torrubiella_hemipterigena|contig_17_gene_478,"A2,A28,A32",OG0000000
mpi|P66|1700480|Fgenesh_Torrubiella_hemipterigena|contig_17_gene_480,"A2,A28,A32",OG0000000
mpi|P66|200320|Fgenesh_Torrubiella_hemipterigena|contig_2_gene_320,"A2,A28,A32",OG0000000
mpi|P7|44001|Fgenesh_Torrubiella_hemipterigena|contig_44_gene_1,A2,OG0000000
mpi|P7|4200149|Fgenesh_Torrubiella_hemipterigena|contig_42_gene_149,A2,OG0000000
mpi|P7|450072|Fgenesh_Torrubiella_hemipterigena|contig_45_gene_72,A2,OG0000000
mpi|P7|3000328|Fgenesh_Torrubiella_hemipterigena|contig_30_gene_328,A2,OG0000000
mpi|P7|3000330|Fgenesh_Torrubiella_hemipterigena|contig_30_gene_330,A2,OG0000000
mpi|P7|3000333|Fgenesh_Torrubiella_hemipterigena|contig_30_gene_333,A2,OG0000000
mpi|P7|3300217|Fgenesh_Torrubiella_hemipterigena|contig_33_gene_217,A2,OG0000000
mpi|P7|3300218|Fgenesh_Torrubiella_hemipterigena|contig_33_gene_218,A2,OG0000000
mpi|P7|6200219|Fgenesh_Torrubiella_hemipterigena|contig_62_gene_219,A2,OG0000000
mpi|P7|3700111|Fgenesh_Torrubiella_hemipterigena|contig_37_gene_111,A2,OG0000000
mpi|P7|3700112|Fgenesh_Torrubiella_hemipterigena|contig_37_gene_112,A2,OG0000000
mpi|P7|3700117|Fgenesh_Torrubiella_hemipterigena|contig_37_gene_117,A2,OG0000000
mpi|P7|2001|Fgenesh_Torrubiella_hemipterigena|contig_2_gene_1,A2,OG0000000
mpi|P7|2002|Fgenesh_Torrubiella_hemipterigena|contig_2_gene_2,A2,OG0000000
mpi|P7|2800459|Fgenesh_Torrubiella_hemipterigena|contig_28_gene_459,A2,OG0000000
mpi|P7|70050|Fgenesh_Torrubiella_hemipterigena|contig_7_gene_50,A2,OG0000000
mpi|P7|700524|Fgenesh_Torrubiella_hemipterigena|contig_7_gene_524,A2,OG0000000
mpi|P7|2500497|Fgenesh_Torrubiella_hemipterigena|contig_25_gene_497,A2,OG0000000
mpi|P7|2500507|Fgenesh_Torrubiella_hemipterigena|contig_25_gene_507,A2,OG0000000
mpi|P60|1600340|Fgenesh_Torrubiella_hemipterigena|contig_16_gene_340,A2,OG0000000
mpi|P60|17002|Fgenesh_Torrubiella_hemipterigena|contig_17_gene_2,A2,OG0000000
mpi|P60|800766|Fgenesh_Torrubiella_hemipterigena|contig_8_gene_766,A2,OG0000000
mpi|P60|15001212|Fgenesh_Torrubiella_hemipterigena|contig_15_gene_1212,A2,OG0000000
mpi|P60|15001214|Fgenesh_Torrubiella_hemipterigena|contig_15_gene_1214,A2,OG0000000
mpi|P60|1800368|Fgenesh_Torrubiella_hemipterigena|contig_18_gene_368,A2,OG0000000
mpi|P60|14001034|Fgenesh_Torrubiella_hemipterigena|contig_14_gene_1034,A2,OG0000000
mpi|P63|200838|Fgenesh_Torrubiella_hemipterigena|contig_2_gene_838,"A2,A28,A32",OG0000000
mpi|P63|900963|Fgenesh_Torrubiella_hemipterigena|contig_9_gene_963,A2,OG0000000
mpi|P46|4007|Fgenesh_Torrubiella_hemipterigena|contig_4_gene_7,A2,OG0000000
mpi|P46|18007|Fgenesh_Torrubiella_hemipterigena|contig_18_gene_7,A2,OG0000000
mpi|P46|52001|Fgenesh_Torrubiella_hemipterigena|contig_52_gene_1,A2,OG0000000
mpi|P46|63001|Fgenesh_Torrubiella_hemipterigena|contig_63_gene_1,A2,OG0000000
mpi|P46|63003|Fgenesh_Torrubiella_hemipterigena|contig_63_gene_3,A2,OG0000000
mpi|P46|1100261|Fgenesh_Torrubiella_hemipterigena|contig_11_gene_261,A2,OG0000000
mpi|P46|1100270|Fgenesh_Torrubiella_hemipterigena|contig_11_gene_270,A2,OG0000000
mpi|P46|1200381|Fgenesh_Torrubiella_hemipterigena|contig_12_gene_381,A2,OG0000000
mpi|P46|700106|Fgenesh_Torrubiella_hemipterigena|contig_7_gene_106,"A2,A28,A32",OG0000000
mpi|P46|5500438|Fgenesh_Torrubiella_hemipterigena|contig_55_gene_438,A2,OG0000000
mpi|P46|4400354|Fgenesh_Torrubiella_hemipterigena|contig_44_gene_354,A2,OG0000000
mpi|P46|5700350|Fgenesh_Torrubiella_hemipterigena|contig_57_gene_350,A2,OG0000000
mpi|P46|45004|Fgenesh_Torrubiella_hemipterigena|contig_45_gene_4,A2,OG0000000
mpi|P46|450038|Fgenesh_Torrubiella_hemipterigena|contig_45_gene_38,A2,OG0000000
mpi|P46|4500430|Fgenesh_Torrubiella_hemipterigena|contig_45_gene_430,A2,OG0000000
mpi|P46|4500437|Fgenesh_Torrubiella_hemipterigena|contig_45_gene_437,A2,OG0000000
mpi|P46|4500446|Fgenesh_Torrubiella_hemipterigena|contig_45_gene_446,A2,OG0000000
mpi|P46|1700101|Fgenesh_Torrubiella_hemipterigena|contig_17_gene_101,A2,OG0000000
mpi|P46|1700461|Fgenesh_Torrubiella_hemipterigena|contig_17_gene_461,A2,OG0000000
mpi|P46|2600104|Fgenesh_Torrubiella_hemipterigena|contig_26_gene_104,A2,OG0000000
mpi|P46|2600675|Fgenesh_Torrubiella_hemipterigena|contig_26_gene_675,A2,OG0000000
mpi|P46|1000807|Fgenesh_Torrubiella_hemipterigena|contig_10_gene_807,A2,OG0000000
mpi|P46|1300823|Fgenesh_Torrubiella_hemipterigena|contig_13_gene_823,A2,OG0000000
mpi|P46|4200106|Fgenesh_Torrubiella_hemipterigena|contig_42_gene_106,A2,OG0000000
mpi|P46|4200159|Fgenesh_Torrubiella_hemipterigena|contig_42_gene_159,A2,OG0000000
mpi|P49|2900495|Fgenesh_Torrubiella_hemipterigena|contig_29_gene_495,A2,OG0000000
mpi|P49|1800331|Fgenesh_Torrubiella_hemipterigena|contig_18_gene_331,"A2,A28,A32",OG0000000
mpi|P421|30001|Fgenesh_Torrubiella_hemipterigena|contig_30_gene_1,A2,OG0000000
mpi|P421|21007|Fgenesh_Torrubiella_hemipterigena|contig_21_gene_7,A2,OG0000000
mpi|P421|25007|Fgenesh_Torrubiella_hemipterigena|contig_25_gene_7,A2,OG0000000
mpi|P421|270032|Fgenesh_Torrubiella_hemipterigena|contig_27_gene_32,A2,OG0000000
mpi|P421|80011|Fgenesh_Torrubiella_hemipterigena|contig_8_gene_11,A2,OG0000000
mpi|P421|80021|Fgenesh_Torrubiella_hemipterigena|contig_8_gene_21,A2,OG0000000
mpi|P421|60025|Fgenesh_Torrubiella_hemipterigena|contig_6_gene_25,A2,OG0000000
mpi|P421|70051|Fgenesh_Torrubiella_hemipterigena|contig_7_gene_51,A2,OG0000000
mpi|P421|500424|Fgenesh_Torrubiella_hemipterigena|contig_5_gene_424,A2,OG0000000
mpi|P421|360010|Fgenesh_Torrubiella_hemipterigena|contig_36_gene_10,A2,OG0000000
mpi|P421|3600380|Fgenesh_Torrubiella_hemipterigena|contig_36_gene_380,A2,OG0000000
mpi|P421|3600382|Fgenesh_Torrubiella_hemipterigena|contig_36_gene_382,A2,OG0000000
mpi|P421|3600383|Fgenesh_Torrubiella_hemipterigena|contig_36_gene_383,A2,OG0000000
mpi|P421|35005|Fgenesh_Torrubiella_hemipterigena|contig_35_gene_5,A2,OG0000000
mpi|P421|3500217|Fgenesh_Torrubiella_hemipterigena|contig_35_gene_217,A2,OG0000000
mpi|P421|35001243|Fgenesh_Torrubiella_hemipterigena|contig_35_gene_1243,"A28,A32",OG0000000
mpi|P421|35001334|Fgenesh_Torrubiella_hemipterigena|contig_35_gene_1334,A2,OG0000000
mpi|P421|35001413|Fgenesh_Torrubiella_hemipterigena|contig_35_gene_1413,A2,OG0000000
mpi|P421|3004|Fgenesh_Torrubiella_hemipterigena|contig_3_gene_4,A2,OG0000000
mpi|P421|3001622|Fgenesh_Torrubiella_hemipterigena|contig_3_gene_1622,A2,OG0000000
mpi|P421|3300192|Fgenesh_Torrubiella_hemipterigena|contig_33_gene_192,A2,OG0000000
mpi|P421|33001371|Fgenesh_Torrubiella_hemipterigena|contig_33_gene_1371,A2,OG0000000
mpi|P421|3400227|Fgenesh_Torrubiella_hemipterigena|contig_34_gene_227,A2,OG0000000
mpi|P421|3400228|Fgenesh_Torrubiella_hemipterigena|contig_34_gene_228,A2,OG0000000
mpi|P421|3400229|Fgenesh_Torrubiella_hemipterigena|contig_34_gene_229,A2,OG0000000
mpi|P421|3400776|Fgenesh_Torrubiella_hemipterigena|contig_34_gene_776,A2,OG0000000
mpi|P421|34001910|Fgenesh_Torrubiella_hemipterigena|contig_34_gene_1910,A2,OG0000000
mpi|P421|34002123|Fgenesh_Torrubiella_hemipterigena|contig_34_gene_2123,A2,OG0000000
mpi|P421|34003336|Fgenesh_Torrubiella_hemipterigena|contig_34_gene_3336,A2,OG0000000
mpi|P5|3002|Fgenesh_Torrubiella_hemipterigena|contig_3_gene_2,"A2,A28,A32",OG0000000
mpi|P43|2800607|Fgenesh_Torrubiella_hemipterigena|contig_28_gene_607,"A2,A28,A32",OG0000000
mpi|P1|11003|Fgenesh_Torrubiella_hemipterigena|contig_11_gene_3,A2,OG0000000
mpi|P1|9002|Fgenesh_Torrubiella_hemipterigena|contig_9_gene_2,A2,OG0000000
mpi|P1|900599|Fgenesh_Torrubiella_hemipterigena|contig_9_gene_599,A2,OG0000000
mpi|P1|900644|Fgenesh_Torrubiella_hemipterigena|contig_9_gene_644,A2,OG0000000
mpi|P1|13001|Fgenesh_Torrubiella_hemipterigena|contig_13_gene_1,A2,OG0000000
mpi|P1|50065|Fgenesh_Torrubiella_hemipterigena|contig_5_gene_65,A2,OG0000000
mpi|P1|500342|Fgenesh_Torrubiella_hemipterigena|contig_5_gene_342,A2,OG0000000
mpi|P1|500467|Fgenesh_Torrubiella_hemipterigena|contig_5_gene_467,A2,OG0000000
mpi|P1|5001293|Fgenesh_Torrubiella_hemipterigena|contig_5_gene_1293,A2,OG0000000
mpi|P1|5001697|Fgenesh_Torrubiella_hemipterigena|contig_5_gene_1697,A2,OG0000000
mpi|P1|6001747|Fgenesh_Torrubiella_hemipterigena|contig_6_gene_1747,"A2,A28,A32",OG0000000
mpi|P19|200032|Fgenesh_Torrubiella_hemipterigena|contig_20_gene_32,A2,OG0000000
mpi|P19|300163|Fgenesh_Torrubiella_hemipterigena|contig_3_gene_163,A2,OG0000000
mpi|P19|18001|Fgenesh_Torrubiella_hemipterigena|contig_18_gene_1,A2,OG0000000
mpi|P19|50015|Fgenesh_Torrubiella_hemipterigena|contig_5_gene_15,A2,OG0000000
mpi|P19|200298|Fgenesh_Torrubiella_hemipterigena|contig_2_gene_298,A2,OG0000000
