,# Identifier,Cytoplasmic effector,Apoplastic effector,Non-effector,Prediction,Orthogroup
33142,mpi|P2|1000781|Fgenesh_Torrubiella_hemipterigena|contig_10_gene_781,-,Y (0.838),-,Apoplastic effector,OG0000018
33184,mpi|P2|10001227|Fgenesh_Torrubiella_hemipterigena|contig_10_gene_1227,Y (0.873),Y (0.631),-,Cytoplasmic/apoplastic effector,OG0000018
34922,mpi|P30|200389|Fgenesh_Torrubiella_hemipterigena|scaffold_2_gene_389,Y (0.736),-,-,Cytoplasmic effector,OG0000018
35350,mpi|P30|1002621|Fgenesh_Torrubiella_hemipterigena|scaffold_1_gene_2621,Y (0.767),Y (0.527),-,Cytoplasmic/apoplastic effector,OG0000018
35644,mpi|P31|800153|Fgenesh_Torrubiella_hemipterigena|contig_8_gene_153,-,Y (0.877),-,Apoplastic effector,OG0000018
36086,mpi|P31|1000546|Fgenesh_Torrubiella_hemipterigena|contig_10_gene_546,Y (0.566),Y (0.929),-,Apoplastic/cytoplasmic effector,OG0000018
36177,mpi|P31|1800469|Fgenesh_Torrubiella_hemipterigena|contig_18_gene_469,Y (0.871),Y (0.622),-,Cytoplasmic/apoplastic effector,OG0000018
37096,mpi|P32|3600258|Fgenesh_Torrubiella_hemipterigena|contig_36_gene_258,Y (0.64),Y (0.581),-,Cytoplasmic/apoplastic effector,OG0000018
37465,mpi|P32|3700482|Fgenesh_Torrubiella_hemipterigena|contig_37_gene_482,Y (0.872),Y (0.631),-,Cytoplasmic/apoplastic effector,OG0000018
38326,mpi|P33|3500170|Fgenesh_Torrubiella_hemipterigena|contig_35_gene_170,Y (0.64),Y (0.581),-,Cytoplasmic/apoplastic effector,OG0000018
38695,mpi|P33|1700485|Fgenesh_Torrubiella_hemipterigena|contig_17_gene_485,Y (0.872),Y (0.631),-,Cytoplasmic/apoplastic effector,OG0000018
39652,mpi|P340|1300410|Fgenesh_Torrubiella_hemipterigena|contig_13_gene_410,Y (0.579),Y (0.823),-,Apoplastic/cytoplasmic effector,OG0000018
39881,mpi|P340|200474|Fgenesh_Torrubiella_hemipterigena|contig_2_gene_474,Y (0.873),Y (0.627),-,Cytoplasmic/apoplastic effector,OG0000018
41211,mpi|P34|700486|Fgenesh_Torrubiella_hemipterigena|contig_7_gene_486,Y (0.872),Y (0.631),-,Cytoplasmic/apoplastic effector,OG0000018
41478,mpi|P34|1900534|Fgenesh_Torrubiella_hemipterigena|contig_19_gene_534,Y (0.867),Y (0.745),-,Cytoplasmic/apoplastic effector,OG0000018
42720,mpi|P35|160092|Fgenesh_Torrubiella_hemipterigena|contig_16_gene_92,Y (0.571),Y (0.825),-,Apoplastic/cytoplasmic effector,OG0000018
43380,mpi|P35|1200472|Fgenesh_Torrubiella_hemipterigena|contig_12_gene_472,Y (0.873),Y (0.627),-,Cytoplasmic/apoplastic effector,OG0000018
44432,mpi|P36|4100526|Fgenesh_Torrubiella_hemipterigena|contig_41_gene_526,Y (0.514),Y (0.96),-,Apoplastic/cytoplasmic effector,OG0000018
44528,mpi|P36|2500483|Fgenesh_Torrubiella_hemipterigena|contig_25_gene_483,Y (0.872),Y (0.631),-,Cytoplasmic/apoplastic effector,OG0000018
45419,mpi|P38|2400313|Fgenesh_Torrubiella_hemipterigena|contig_24_gene_313,Y (0.872),Y (0.631),-,Cytoplasmic/apoplastic effector,OG0000018
45610,mpi|P38|2500486|Fgenesh_Torrubiella_hemipterigena|contig_25_gene_486,Y (0.867),Y (0.745),-,Cytoplasmic/apoplastic effector,OG0000018
47458,mpi|P39|3200301|Fgenesh_Torrubiella_hemipterigena|contig_32_gene_301,Y (0.514),Y (0.96),-,Apoplastic/cytoplasmic effector,OG0000018
47721,mpi|P39|3600731|Fgenesh_Torrubiella_hemipterigena|contig_36_gene_731,Y (0.872),Y (0.631),-,Cytoplasmic/apoplastic effector,OG0000018
48501,mpi|P3|1100530|Fgenesh_Torrubiella_hemipterigena|contig_11_gene_530,Y (0.595),Y (0.926),-,Apoplastic/cytoplasmic effector,OG0000018
48575,mpi|P3|1600157|Fgenesh_Torrubiella_hemipterigena|contig_16_gene_157,-,Y (0.925),-,Apoplastic effector,OG0000018
48615,mpi|P3|1600595|Fgenesh_Torrubiella_hemipterigena|contig_16_gene_595,Y (0.871),Y (0.622),-,Cytoplasmic/apoplastic effector,OG0000018
49577,mpi|P40|260039|Fgenesh_Torrubiella_hemipterigena|contig_26_gene_39,Y (0.872),Y (0.598),-,Cytoplasmic/apoplastic effector,OG0000018
49816,mpi|P40|800138|Fgenesh_Torrubiella_hemipterigena|contig_8_gene_138,Y (0.534),Y (0.866),-,Apoplastic/cytoplasmic effector,OG0000018
50966,mpi|P41|210019|Fgenesh_Torrubiella_hemipterigena|contig_21_gene_19,Y (0.872),Y (0.631),-,Cytoplasmic/apoplastic effector,OG0000018
51738,mpi|P41|1400403|Fgenesh_Torrubiella_hemipterigena|contig_14_gene_403,Y (0.571),Y (0.825),-,Apoplastic/cytoplasmic effector,OG0000018
52375,mpi|P421|100393|Fgenesh_Torrubiella_hemipterigena|contig_1_gene_393,Y (0.575),Y (0.952),-,Apoplastic/cytoplasmic effector,OG0000018
53161,mpi|P421|33001930|Fgenesh_Torrubiella_hemipterigena|contig_33_gene_1930,Y (0.876),Y (0.626),-,Cytoplasmic/apoplastic effector,OG0000018
54026,mpi|P42|1400251|Fgenesh_Torrubiella_hemipterigena|contig_14_gene_251,Y (0.552),Y (0.951),-,Apoplastic/cytoplasmic effector,OG0000018
54152,mpi|P42|100378|Fgenesh_Torrubiella_hemipterigena|contig_1_gene_378,Y (0.872),Y (0.631),-,Cytoplasmic/apoplastic effector,OG0000018
55135,mpi|P43|200530|Fgenesh_Torrubiella_hemipterigena|contig_2_gene_530,Y (0.575),Y (0.952),-,Apoplastic/cytoplasmic effector,OG0000018
55832,mpi|P43|2800466|Fgenesh_Torrubiella_hemipterigena|contig_28_gene_466,Y (0.872),Y (0.631),-,Cytoplasmic/apoplastic effector,OG0000018
56546,mpi|P44|130037|Fgenesh_Torrubiella_hemipterigena|contig_13_gene_37,Y (0.872),Y (0.631),-,Cytoplasmic/apoplastic effector,OG0000018
56991,mpi|P44|900536|Fgenesh_Torrubiella_hemipterigena|contig_9_gene_536,Y (0.664),Y (0.929),-,Apoplastic/cytoplasmic effector,OG0000018
57914,mpi|P455|600408|Fgenesh_Torrubiella_hemipterigena|contig_6_gene_408,Y (0.571),Y (0.825),-,Apoplastic/cytoplasmic effector,OG0000018
58620,mpi|P455|900477|Fgenesh_Torrubiella_hemipterigena|contig_9_gene_477,Y (0.871),Y (0.633),-,Cytoplasmic/apoplastic effector,OG0000018
59818,mpi|P45|300536|Fgenesh_Torrubiella_hemipterigena|contig_3_gene_536,Y (0.664),Y (0.929),-,Apoplastic/cytoplasmic effector,OG0000018
60590,mpi|P45|21001909|Fgenesh_Torrubiella_hemipterigena|contig_21_gene_1909,Y (0.872),Y (0.631),-,Cytoplasmic/apoplastic effector,OG0000018
61365,mpi|P46|2600425|Fgenesh_Torrubiella_hemipterigena|contig_26_gene_425,Y (0.752),Y (0.673),-,Cytoplasmic/apoplastic effector,OG0000018
61920,mpi|P46|1300425|Fgenesh_Torrubiella_hemipterigena|contig_13_gene_425,Y (0.873),Y (0.631),-,Cytoplasmic/apoplastic effector,OG0000018
61964,mpi|P46|1300871|Fgenesh_Torrubiella_hemipterigena|contig_13_gene_871,-,Y (0.835),-,Apoplastic effector,OG0000018
62181,mpi|P47|1900137|Fgenesh_Torrubiella_hemipterigena|contig_19_gene_137,Y (0.534),Y (0.866),-,Apoplastic/cytoplasmic effector,OG0000018
63174,mpi|P47|500467|Fgenesh_Torrubiella_hemipterigena|contig_5_gene_467,Y (0.872),Y (0.598),-,Cytoplasmic/apoplastic effector,OG0000018
63686,mpi|P48|800126|Fgenesh_Torrubiella_hemipterigena|contig_8_gene_126,Y (0.557),Y (0.96),-,Apoplastic/cytoplasmic effector,OG0000018
63830,mpi|P48|2200494|Fgenesh_Torrubiella_hemipterigena|contig_22_gene_494,Y (0.872),Y (0.631),-,Cytoplasmic/apoplastic effector,OG0000018
65275,mpi|P49|20039|Fgenesh_Torrubiella_hemipterigena|contig_2_gene_39,Y (0.869),Y (0.659),-,Cytoplasmic/apoplastic effector,OG0000018
66352,mpi|P4|130037|Fgenesh_Torrubiella_hemipterigena|contig_13_gene_37,Y (0.871),Y (0.633),-,Cytoplasmic/apoplastic effector,OG0000018
66835,mpi|P4|1600322|Fgenesh_Torrubiella_hemipterigena|contig_16_gene_322,Y (0.571),Y (0.825),-,Apoplastic/cytoplasmic effector,OG0000018
68307,mpi|P50|2100401|Fgenesh_Torrubiella_hemipterigena|contig_21_gene_401,Y (0.595),Y (0.926),-,Apoplastic/cytoplasmic effector,OG0000018
69010,mpi|P50|14001704|Fgenesh_Torrubiella_hemipterigena|contig_14_gene_1704,-,Y (0.925),-,Apoplastic effector,OG0000018
69056,mpi|P50|14002141|Fgenesh_Torrubiella_hemipterigena|contig_14_gene_2141,Y (0.876),Y (0.625),-,Cytoplasmic/apoplastic effector,OG0000018
69330,mpi|P51|1200479|Fgenesh_Torrubiella_hemipterigena|contig_12_gene_479,Y (0.872),Y (0.631),-,Cytoplasmic/apoplastic effector,OG0000018
69876,mpi|P51|1300399|Fgenesh_Torrubiella_hemipterigena|contig_13_gene_399,Y (0.705),Y (0.852),-,Apoplastic/cytoplasmic effector,OG0000018
71226,mpi|P52|2700191|Fgenesh_Torrubiella_hemipterigena|contig_27_gene_191,Y (0.872),Y (0.631),-,Cytoplasmic/apoplastic effector,OG0000018
71334,mpi|P52|1500380|Fgenesh_Torrubiella_hemipterigena|contig_15_gene_380,Y (0.557),Y (0.96),-,Apoplastic/cytoplasmic effector,OG0000018
72814,mpi|P54|600408|Fgenesh_Torrubiella_hemipterigena|contig_6_gene_408,Y (0.605),Y (0.917),-,Apoplastic/cytoplasmic effector,OG0000018
73229,mpi|P54|3200710|Fgenesh_Torrubiella_hemipterigena|contig_32_gene_710,-,Y (0.891),-,Apoplastic effector,OG0000018
73272,mpi|P54|32001148|Fgenesh_Torrubiella_hemipterigena|contig_32_gene_1148,Y (0.877),Y (0.625),-,Cytoplasmic/apoplastic effector,OG0000018
73488,mpi|P55|1500488|Fgenesh_Torrubiella_hemipterigena|contig_15_gene_488,Y (0.877),Y (0.625),-,Cytoplasmic/apoplastic effector,OG0000018
74234,mpi|P55|400529|Fgenesh_Torrubiella_hemipterigena|contig_4_gene_529,Y (0.777),Y (0.729),-,Cytoplasmic/apoplastic effector,OG0000018
74637,mpi|P55|2000395|Fgenesh_Torrubiella_hemipterigena|contig_20_gene_395,-,Y (0.877),-,Apoplastic effector,OG0000018
75448,mpi|P56|2400408|Fgenesh_Torrubiella_hemipterigena|contig_24_gene_408,Y (0.605),Y (0.917),-,Apoplastic/cytoplasmic effector,OG0000018
76099,mpi|P56|1900710|Fgenesh_Torrubiella_hemipterigena|contig_19_gene_710,-,Y (0.891),-,Apoplastic effector,OG0000018
76142,mpi|P56|19001148|Fgenesh_Torrubiella_hemipterigena|contig_19_gene_1148,Y (0.877),Y (0.625),-,Cytoplasmic/apoplastic effector,OG0000018
76578,mpi|P57|300426|Fgenesh_Torrubiella_hemipterigena|contig_3_gene_426,Y (0.605),Y (0.917),-,Apoplastic/cytoplasmic effector,OG0000018
77093,mpi|P57|1400473|Fgenesh_Torrubiella_hemipterigena|contig_14_gene_473,Y (0.871),Y (0.625),-,Cytoplasmic/apoplastic effector,OG0000018
77134,mpi|P57|1400907|Fgenesh_Torrubiella_hemipterigena|contig_14_gene_907,-,Y (0.877),-,Apoplastic effector,OG0000018
78142,mpi|P58|1100425|Fgenesh_Torrubiella_hemipterigena|contig_11_gene_425,Y (0.605),Y (0.917),-,Apoplastic/cytoplasmic effector,OG0000018
78381,mpi|P58|700743|Fgenesh_Torrubiella_hemipterigena|contig_7_gene_743,-,Y (0.868),-,Apoplastic effector,OG0000018
78426,mpi|P58|7001180|Fgenesh_Torrubiella_hemipterigena|contig_7_gene_1180,Y (0.871),Y (0.625),-,Cytoplasmic/apoplastic effector,OG0000018
79412,mpi|P59|2300539|Fgenesh_Torrubiella_hemipterigena|contig_23_gene_539,Y (0.669),Y (0.668),-,Cytoplasmic/apoplastic effector,OG0000018
79804,mpi|P59|2500479|Fgenesh_Torrubiella_hemipterigena|contig_25_gene_479,Y (0.877),Y (0.625),-,Cytoplasmic/apoplastic effector,OG0000018
79847,mpi|P59|2500920|Fgenesh_Torrubiella_hemipterigena|contig_25_gene_920,-,Y (0.831),-,Apoplastic effector,OG0000018
80718,mpi|P5|3200111|Fgenesh_Torrubiella_hemipterigena|contig_32_gene_111,Y (0.872),Y (0.631),-,Cytoplasmic/apoplastic effector,OG0000018
80954,mpi|P5|500406|Fgenesh_Torrubiella_hemipterigena|contig_5_gene_406,Y (0.653),Y (0.811),-,Apoplastic/cytoplasmic effector,OG0000018
82168,mpi|P60|4900303|Fgenesh_Torrubiella_hemipterigena|contig_49_gene_303,-,Y (0.877),-,Apoplastic effector,OG0000018
82561,mpi|P60|1000485|Fgenesh_Torrubiella_hemipterigena|contig_10_gene_485,Y (0.876),Y (0.625),-,Cytoplasmic/apoplastic effector,OG0000018
82642,mpi|P60|800532|Fgenesh_Torrubiella_hemipterigena|contig_8_gene_532,Y (0.882),Y (0.758),-,Cytoplasmic/apoplastic effector,OG0000018
83531,mpi|P612|500049|Fgenesh_Torrubiella_hemipterigena|contig_50_gene_49,Y (0.872),Y (0.631),-,Cytoplasmic/apoplastic effector,OG0000018
83788,mpi|P612|1500397|Fgenesh_Torrubiella_hemipterigena|contig_15_gene_397,Y (0.664),Y (0.929),-,Apoplastic/cytoplasmic effector,OG0000018
84987,mpi|P61|1200535|Fgenesh_Torrubiella_hemipterigena|contig_12_gene_535,Y (0.82),Y (0.993),-,Apoplastic/cytoplasmic effector,OG0000018
86036,mpi|P61|10002070|Fgenesh_Torrubiella_hemipterigena|contig_10_gene_2070,Y (0.869),Y (0.63),-,Cytoplasmic/apoplastic effector,OG0000018
86491,mpi|P62|1800420|Fgenesh_Torrubiella_hemipterigena|contig_18_gene_420,Y (0.633),Y (0.856),-,Apoplastic/cytoplasmic effector,OG0000018
87425,mpi|P62|20001704|Fgenesh_Torrubiella_hemipterigena|contig_20_gene_1704,-,Y (0.877),-,Apoplastic effector,OG0000018
87466,mpi|P62|20002140|Fgenesh_Torrubiella_hemipterigena|contig_20_gene_2140,Y (0.877),Y (0.625),-,Cytoplasmic/apoplastic effector,OG0000018
88082,mpi|P63|300408|Fgenesh_Torrubiella_hemipterigena|contig_3_gene_408,Y (0.82),Y (0.993),-,Apoplastic/cytoplasmic effector,OG0000018
88844,mpi|P63|900468|Fgenesh_Torrubiella_hemipterigena|contig_9_gene_468,Y (0.872),Y (0.631),-,Cytoplasmic/apoplastic effector,OG0000018
90186,mpi|P65|2100194|Fgenesh_Torrubiella_hemipterigena|contig_21_gene_194,Y (0.872),Y (0.622),-,Cytoplasmic/apoplastic effector,OG0000018
91123,mpi|P65|1300399|Fgenesh_Torrubiella_hemipterigena|contig_13_gene_399,Y (0.88),Y (0.693),-,Cytoplasmic/apoplastic effector,OG0000018
91726,mpi|P66|600535|Fgenesh_Torrubiella_hemipterigena|contig_6_gene_535,Y (0.595),Y (0.942),-,Apoplastic/cytoplasmic effector,OG0000018
92152,mpi|P66|1400732|Fgenesh_Torrubiella_hemipterigena|contig_14_gene_732,Y (0.872),Y (0.631),-,Cytoplasmic/apoplastic effector,OG0000018
93023,mpi|P67|1200413|Fgenesh_Torrubiella_hemipterigena|contig_12_gene_413,Y (0.605),Y (0.917),-,Apoplastic/cytoplasmic effector,OG0000018
94083,mpi|P67|1000477|Fgenesh_Torrubiella_hemipterigena|contig_10_gene_477,Y (0.861),Y (0.634),-,Cytoplasmic/apoplastic effector,OG0000018
94127,mpi|P67|1000927|Fgenesh_Torrubiella_hemipterigena|contig_10_gene_927,-,Y (0.925),-,Apoplastic effector,OG0000018
94565,mpi|P68|33003|Fgenesh_Torrubiella_hemipterigena|contig_33_gene_3,Y (0.705),Y (0.852),-,Apoplastic/cytoplasmic effector,OG0000018
94643,mpi|P68|480048|Fgenesh_Torrubiella_hemipterigena|contig_48_gene_48,Y (0.872),Y (0.631),-,Cytoplasmic/apoplastic effector,OG0000018
95912,mpi|P6|1900249|Fgenesh_Torrubiella_hemipterigena|contig_19_gene_249,Y (0.644),Y (0.924),-,Apoplastic/cytoplasmic effector,OG0000018
96095,mpi|P6|340035|Fgenesh_Torrubiella_hemipterigena|contig_34_gene_35,Y (0.874),Y (0.632),-,Cytoplasmic/apoplastic effector,OG0000018
97124,mpi|P7|42007|Fgenesh_Torrubiella_hemipterigena|contig_42_gene_7,Y (0.873),Y (0.631),-,Cytoplasmic/apoplastic effector,OG0000018
97898,mpi|P7|360025|Fgenesh_Torrubiella_hemipterigena|contig_36_gene_25,-,Y (0.835),-,Apoplastic effector,OG0000018
99126,mpi|P8|900377|Fgenesh_Torrubiella_hemipterigena|contig_9_gene_377,Y (0.696),Y (0.93),-,Apoplastic/cytoplasmic effector,OG0000018
99926,mpi|P8|15001504|Fgenesh_Torrubiella_hemipterigena|contig_15_gene_1504,-,Y (0.891),-,Apoplastic effector,OG0000018
100109,mpi|P9|700115|Fgenesh_Torrubiella_hemipterigena|contig_7_gene_115,Y (0.876),Y (0.625),-,Cytoplasmic/apoplastic effector,OG0000018
100141,mpi|P9|200176|Fgenesh_Torrubiella_hemipterigena|contig_2_gene_176,Y (0.986),Y (0.697),-,Cytoplasmic/apoplastic effector,OG0000018
723,mpi|P10|900619|Fgenesh_Torrubiella_hemipterigena|contig_9_gene_619,-,Y (0.576),-,Apoplastic effector,OG0000037
2154,jgi|P117|249020|gm1.10710_g,Y (0.712),-,-,Cytoplasmic effector,OG0000037
3187,mpi|P11|140088|Fgenesh_Torrubiella_hemipterigena|contig_14_gene_88,-,Y (0.576),-,Apoplastic effector,OG0000037
4796,mpi|P12|1100634|Fgenesh_Torrubiella_hemipterigena|contig_11_gene_634,-,Y (0.627),-,Apoplastic effector,OG0000037
6108,mpi|P13|270087|Fgenesh_Torrubiella_hemipterigena|contig_27_gene_87,-,Y (0.603),-,Apoplastic effector,OG0000037
7668,mpi|P143|2200996|Fgenesh_Torrubiella_hemipterigena|contig_22_gene_996,-,Y (0.591),-,Apoplastic effector,OG0000037
8921,mpi|P14|2700202|Fgenesh_Torrubiella_hemipterigena|contig_27_gene_202,-,Y (0.591),-,Apoplastic effector,OG0000037
10328,mpi|P15|700606|Fgenesh_Torrubiella_hemipterigena|contig_7_gene_606,-,Y (0.591),-,Apoplastic effector,OG0000037
15302,mpi|P18|5900586|Fgenesh_Torrubiella_hemipterigena|contig_59_gene_586,-,Y (0.591),-,Apoplastic effector,OG0000037
16923,mpi|P19|7000587|Fgenesh_Torrubiella_hemipterigena|contig_70_gene_587,-,Y (0.591),-,Apoplastic effector,OG0000037
17530,mpi|P1|1300982|Fgenesh_Torrubiella_hemipterigena|contig_13_gene_982,-,Y (0.642),-,Apoplastic effector,OG0000037
19845,mpi|P20|300977|Fgenesh_Torrubiella_hemipterigena|contig_3_gene_977,-,Y (0.642),-,Apoplastic effector,OG0000037
