Orthogroup,mean distance to transposon,conservation
OG0000160,210660.75423728814,core
OG0000161,226591.57142857142,broadlyConserved
OG0000162,244339.24561403508,core
OG0000163,125116.4051724138,core
OG0000164,68599.09565217391,core
OG0000165,215785.1592920354,core
OG0000166,226722.52586206896,broadlyConserved
OG0000167,88531.05309734514,core
OG0000168,125706.30434782608,core
OG0000169,174362.5043478261,core
OG0000170,242950.61538461538,core
OG0000171,105805.77586206897,core
OG0000172,70438.61739130435,core
OG0000173,135161.63247863247,core
OG0000174,78577.74137931035,core
OG0000175,137401.7155172414,core
OG0000176,86059.69827586207,broadlyConserved
OG0000177,177443.4336283186,core
OG0000178,146601.57391304348,core
OG0000179,87355.84705882354,core
OG0000180,95476.93859649122,core
OG0000181,78028.47368421052,core
OG0000182,65666.64035087719,core
OG0000183,199693.66666666666,core
OG0000184,160679.64601769912,core
OG0000185,13521.741379310344,core
OG0000186,199715.73636363636,broadlyConserved
OG0000187,207396.94782608695,core
OG0000188,165485.0431034483,core
OG0000189,343243.2631578947,core
OG0000190,239953.25,core
OG0000191,109585.63392857143,core
OG0000192,36148.208695652174,core
OG0000193,178950.86956521738,core
OG0000194,141557.2232142857,broadlyConserved
OG0000195,196742.93859649124,core
OG0000196,236305.85714285713,core
OG0000197,105298.92105263157,core
OG0000198,238152.53043478262,core
OG0000199,101513.58928571429,core
OG0000200,51136.90434782609,core
OG0000201,220564.23214285713,core
OG0000202,278709.71428571426,core
OG0000203,206434.0,core
OG0000204,187010.02469135803,core
OG0000205,97866.32456140351,core
OG0000206,154758.04464285713,core
OG0000207,104824.8947368421,core
OG0000208,41583.150442477876,core
OG0000209,137856.3137254902,core
OG0000210,19786.00925925926,sparselyDistributedOG
OG0000211,30845.271844660194,sparselyDistributedOG
OG0000212,77847.8090909091,core
OG0000213,111405.38392857143,broadlyConserved
OG0000214,191257.99099099098,core
OG0000215,231766.1214953271,broadlyConserved
OG0000216,410724.72321428574,core
OG0000217,39625.718181818185,core
OG0000218,183757.0,core
OG0000219,32375.942857142858,sparselyDistributedOG
OG0000220,136317.34234234234,broadlyConserved
OG0000221,182702.98165137615,core
OG0000222,177575.0357142857,core
OG0000223,154892.375,core
OG0000224,192204.09523809524,broadlyConserved
OG0000225,133308.33333333334,core
OG0000226,135946.52727272728,core
OG0000227,149525.02727272728,core
OG0000228,179540.42592592593,core
OG0000229,47576.2752293578,sparselyDistributedOG
OG0000230,189085.1098901099,broadlyConserved
OG0000231,166899.8623853211,core
OG0000232,110603.32432432432,core
OG0000233,116630.45945945945,core
OG0000234,314021.18691588787,core
OG0000235,260386.73394495412,core
OG0000236,113169.62162162163,core
OG0000237,227679.81981981982,core
OG0000238,110310.38532110091,core
OG0000239,228291.21100917432,core
OG0000240,155885.90476190476,core
OG0000241,119601.89814814815,broadlyConserved
OG0000242,102484.62037037036,core
OG0000243,118132.84615384616,core
OG0000244,270974.64814814815,core
OG0000245,131711.20909090908,core
OG0000246,109807.01851851853,broadlyConserved
OG0000247,166435.06796116504,core
OG0000248,99509.09174311926,core
OG0000249,169553.8990825688,broadlyConserved
OG0000250,113638.77981651376,core
OG0000251,40148.00925925926,core
OG0000252,110466.78571428571,core
OG0000253,98130.54716981133,core
OG0000254,193672.7476635514,core
OG0000255,215552.01869158878,core
OG0000256,206244.16666666666,broadlyConserved
OG0000257,169238.49056603774,core
OG0000258,121956.46666666666,core
OG0000259,275147.4387755102,core
OG0000260,121733.02777777778,core
OG0000261,141790.13888888888,broadlyConserved
OG0000262,195800.71028037384,core
OG0000263,311814.58490566036,broadlyConserved
OG0000264,148838.86915887852,core
OG0000265,105677.85714285714,core
OG0000266,163961.6037735849,core
OG0000267,178372.03738317758,broadlyConserved
OG0000268,176283.568627451,core
OG0000269,201718.01960784313,core
OG0000270,205115.67647058822,core
OG0000271,85488.56074766355,core
OG0000272,41610.700934579436,core
OG0000273,129695.27102803739,core
OG0000274,174058.82524271845,core
OG0000275,84940.44339622642,core
OG0000276,178022.00961538462,core
OG0000277,100302.22857142857,core
OG0000278,120285.0,core
OG0000279,202609.51886792452,core
OG0000280,134995.8962264151,core
OG0000281,44360.08,core
OG0000282,167411.28155339806,broadlyConserved
OG0000283,129521.79611650485,core
OG0000284,314919.3495145631,core
OG0000285,113625.25714285714,core
OG0000286,22769.223300970873,core
OG0000287,139631.30303030304,core
OG0000288,117053.1359223301,broadlyConserved
OG0000289,149512.69607843139,core
OG0000290,206953.29411764705,core
OG0000291,140568.33980582524,core
OG0000292,108154.32673267326,core
OG0000293,25038.93,sparselyDistributedOG
OG0000294,127350.5294117647,core
OG0000295,160614.23529411765,broadlyConserved
OG0000296,199006.32467532466,core
OG0000297,172836.431372549,core
OG0000298,121774.7572815534,broadlyConserved
OG0000299,152890.26213592233,broadlyConserved
OG0000300,89601.87254901961,core
OG0000301,227114.21359223302,core
OG0000302,131886.48514851485,core
OG0000303,217815.03921568627,core
OG0000304,209999.5612244898,broadlyConserved
OG0000305,61087.78431372549,core
OG0000306,131419.00970873787,core
OG0000307,161370.0485436893,core
OG0000308,282229.5806451613,core
OG0000309,312539.8823529412,core
OG0000310,124542.26086956522,broadlyConserved
OG0000311,165389.96116504853,broadlyConserved
OG0000312,181975.4854368932,core
OG0000313,172423.45098039217,broadlyConserved
OG0000314,249598.53921568627,core
OG0000315,108278.9801980198,core
OG0000316,111353.43434343435,core
OG0000317,234276.10891089108,broadlyConserved
OG0000318,141606.1287128713,broadlyConserved
OG0000319,154082.27450980392,core
OG0000320,162857.89215686274,core
OG0000321,185573.875,broadlyConserved
OG0000322,206138.6862745098,core
OG0000323,227999.43434343435,core
OG0000324,239876.62,core
OG0000325,181602.12121212122,core
OG0000326,92073.60396039604,broadlyConserved
OG0000327,219774.9705882353,broadlyConserved
OG0000328,183148.77,core
OG0000329,193102.1075268817,core
OG0000330,164992.8316831683,core
OG0000331,65557.82178217822,core
OG0000332,203362.44554455444,core
OG0000333,82847.17171717172,core
OG0000334,96769.48,core
OG0000335,166823.33,broadlyConserved
OG0000336,266636.1386138614,core
OG0000337,139104.72,core
OG0000338,147950.0396039604,core
OG0000339,206408.79591836734,core
OG0000340,162221.47,core
OG0000341,113805.75247524753,core
OG0000342,187397.91,core
OG0000343,168477.13861386137,broadlyConserved
OG0000344,175314.69306930693,core
OG0000345,157016.62105263158,core
OG0000346,184629.9081632653,core
OG0000347,165262.48453608248,broadlyConserved
OG0000348,238858.46,core
OG0000349,139991.02,core
OG0000350,170499.0618556701,core
OG0000351,135253.71,core
OG0000352,185532.2,core
OG0000353,115464.98,core
OG0000354,142415.16326530612,core
OG0000355,126034.0947368421,broadlyConserved
OG0000356,79872.0505050505,core
OG0000357,272686.2947368421,core
OG0000358,104285.59183673469,core
OG0000359,246671.8350515464,core
OG0000360,173949.01086956522,core
OG0000361,186017.40404040404,core
OG0000362,30721.197916666668,broadlyConserved
OG0000363,144413.1894736842,core
OG0000364,241596.63917525773,core
OG0000365,208076.1894736842,broadlyConserved
OG0000366,118072.8762886598,core
OG0000367,45409.255102040814,core
OG0000368,259991.17582417582,core
OG0000369,192099.14444444445,core
OG0000370,148716.34375,core
OG0000371,115996.45833333333,core
OG0000372,130040.53125,core
OG0000373,165317.806122449,core
OG0000374,150829.3505154639,broadlyConserved
OG0000375,186953.4387755102,core
OG0000376,127478.39784946236,broadlyConserved
OG0000377,119615.51578947369,core
OG0000378,145949.8125,core
OG0000379,122242.16326530612,core
OG0000380,112432.86363636363,sparselyDistributedOG
OG0000381,141752.4375,broadlyConserved
OG0000382,47128.72631578947,core
OG0000383,360364.77777777775,broadlyConserved
OG0000384,216641.0625,core
OG0000385,219641.95789473684,core
OG0000386,183361.6,core
OG0000387,188536.15463917525,core
OG0000388,190356.71739130435,core
OG0000389,14695.649484536083,core
OG0000390,364735.9569892473,core
OG0000391,303523.3789473684,core
OG0000392,214166.5483870968,broadlyConserved
OG0000393,127411.20833333333,core
OG0000394,95495.92222222222,broadlyConserved
OG0000395,115465.86021505376,core
OG0000396,161889.27659574468,core
OG0000397,231822.58241758242,core
OG0000398,250922.92708333334,broadlyConserved
OG0000399,117681.06315789474,core
OG0000400,111952.45833333333,broadlyConserved
OG0000401,129469.33684210526,core
OG0000402,108573.02105263158,broadlyConserved
OG0000403,127061.98958333333,core
OG0000404,184331.84210526315,broadlyConserved
OG0000405,74086.125,core
OG0000406,210925.70833333334,core
OG0000407,98710.47368421052,core
OG0000408,154642.92631578946,core
OG0000409,197404.97894736842,broadlyConserved
OG0000410,198666.84615384616,broadlyConserved
OG0000411,61357.53191489362,core
OG0000412,152680.50537634408,core
OG0000413,174475.97777777776,broadlyConserved
OG0000414,230356.51063829788,broadlyConserved
OG0000415,111993.15957446808,core
OG0000416,92820.79775280898,core
OG0000417,80724.5052631579,core
OG0000418,209470.32967032967,core
OG0000419,209217.87368421053,broadlyConserved
OG0000420,72844.24210526315,core
OG0000421,121670.90322580645,broadlyConserved
OG0000422,117850.12631578947,core
OG0000423,120233.40217391304,broadlyConserved
OG0000424,183569.01075268816,core
OG0000425,156618.3085106383,core
OG0000426,20558.617021276597,broadlyConserved
OG0000427,85625.45652173914,core
OG0000428,170977.67741935485,core
OG0000429,178402.45652173914,broadlyConserved
OG0000430,218733.89361702127,core
OG0000431,35425.10989010989,core
OG0000432,185361.414893617,core
OG0000433,233055.16279069768,broadlyConserved
OG0000434,97034.71276595745,core
OG0000435,200966.52747252746,core
OG0000436,52423.936170212764,core
OG0000437,147214.46808510637,core
OG0000438,114210.9574468085,core
OG0000439,151244.6813186813,core
OG0000440,190086.1914893617,core
OG0000441,204871.02127659574,core
OG0000442,173769.5652173913,core
OG0000443,203366.7634408602,core
OG0000444,15041.45054945055,sparselyDistributedOG
OG0000445,138106.21978021978,core
OG0000446,153181.15384615384,core
OG0000447,73137.75268817204,core
OG0000448,180504.39325842698,core
OG0000449,137135.92307692306,core
OG0000450,94293.43333333333,core
OG0000451,169876.4347826087,broadlyConserved
OG0000452,128034.98924731182,core
OG0000453,143429.4301075269,core
OG0000454,158578.8,core
OG0000455,129072.47826086957,core
OG0000456,207280.73913043478,broadlyConserved
OG0000457,117919.16483516483,core
OG0000458,136705.52747252746,core
OG0000459,195516.38461538462,core
OG0000460,204906.95555555556,core
OG0000461,209874.59550561797,core
OG0000462,127567.13186813187,core
OG0000463,177062.38461538462,broadlyConserved
OG0000464,143078.81720430107,core
OG0000465,118502.29032258065,broadlyConserved
OG0000466,41410.583333333336,sparselyDistributedOG
OG0000467,49834.434782608696,core
OG0000468,215276.53333333333,core
OG0000469,57884.25,core
OG0000470,81884.80434782608,core
OG0000471,218636.76923076922,core
OG0000472,175937.43956043955,core
OG0000473,324429.3068181818,core
OG0000474,87444.33333333333,broadlyConserved
OG0000475,185522.30434782608,broadlyConserved
OG0000476,184108.66292134832,core
OG0000477,239174.91011235956,core
OG0000478,94870.17045454546,core
OG0000479,24838.0,broadlyConserved
OG0000480,141022.6436781609,core
OG0000481,64625.87777777778,core
OG0000482,134187.7931034483,core
OG0000483,189119.55056179775,core
OG0000484,47602.868131868134,core
OG0000485,232766.73333333334,core
OG0000486,109919.25274725274,core
OG0000487,78379.14606741573,core
OG0000488,288737.8,core
OG0000489,147776.16483516485,broadlyConserved
OG0000490,59854.910112359554,core
OG0000491,236653.0,core
OG0000492,153601.43023255814,core
OG0000493,64217.56043956044,core
OG0000494,97894.33333333333,core
OG0000495,175648.5842696629,broadlyConserved
OG0000496,53644.11111111111,broadlyConserved
OG0000497,99638.61111111111,broadlyConserved
OG0000498,201947.77272727274,broadlyConserved
OG0000499,122733.76404494382,core
OG0000500,27289.11111111111,core
OG0000501,79194.07777777778,core
OG0000502,114474.15555555555,core
OG0000503,236307.8988764045,broadlyConserved
OG0000504,207105.51136363635,broadlyConserved
OG0000505,94331.44318181818,core
OG0000506,104940.32183908045,broadlyConserved
OG0000507,175206.3448275862,core
OG0000508,246756.93103448275,core
OG0000509,44608.920454545456,core
OG0000510,335098.16049382713,core
OG0000511,113502.59550561798,core
OG0000512,152294.93023255814,core
OG0000513,233594.98876404495,core
OG0000514,126889.16666666667,core
OG0000515,68390.69767441861,broadlyConserved
OG0000516,136715.7415730337,broadlyConserved
OG0000517,70732.68539325842,broadlyConserved
OG0000518,173883.4157303371,broadlyConserved
OG0000519,89967.36046511628,core
OG0000520,225776.97674418605,core
OG0000521,260940.17721518988,broadlyConserved
OG0000522,216908.40697674418,core
OG0000523,19867.488636363636,core
OG0000524,201975.4090909091,broadlyConserved
OG0000525,52120.36363636364,core
OG0000526,226298.11904761905,core
OG0000527,190339.9176470588,broadlyConserved
OG0000528,121997.44705882353,sparselyDistributedOG
OG0000529,116446.9540229885,core
OG0000530,174295.7093023256,core
OG0000531,106859.22988505747,core
OG0000532,188626.6511627907,core
OG0000533,191764.86419753087,broadlyConserved
OG0000534,67405.22988505747,core
OG0000535,173828.07142857142,core
OG0000536,129268.9268292683,core
OG0000537,219722.33333333334,core
OG0000538,197938.66666666666,core
OG0000539,163807.81395348837,core
OG0000540,240865.81176470587,broadlyConserved
OG0000541,107104.03448275862,broadlyConserved
OG0000542,121503.40963855422,core
OG0000543,188305.9880952381,core
OG0000544,184857.2380952381,broadlyConserved
OG0000545,109810.92941176471,core
OG0000546,151400.75294117647,core
OG0000547,115674.05952380953,core
OG0000548,153647.2,core
OG0000549,205797.08333333334,broadlyConserved
OG0000550,10231.348837209302,core
OG0000551,200888.03658536586,broadlyConserved
OG0000552,160806.4025974026,core
OG0000553,202800.17857142858,broadlyConserved
OG0000554,177197.2857142857,core
OG0000555,82165.37647058823,broadlyConserved
OG0000556,95634.77380952382,broadlyConserved
OG0000557,90679.02409638555,broadlyConserved
OG0000558,147660.83529411766,core
OG0000559,7502.458823529411,broadlyConserved
OG0000560,192486.13414634147,broadlyConserved
OG0000561,112069.1294117647,core
OG0000562,112984.42105263157,core
OG0000563,180264.6987951807,core
OG0000564,216250.8536585366,broadlyConserved
OG0000565,232007.93975903615,core
OG0000566,176151.2117647059,core
OG0000567,88986.6705882353,core
OG0000568,42656.18987341772,core
OG0000569,100070.10843373495,core
OG0000570,162704.54761904763,core
OG0000571,142269.69512195123,core
OG0000572,176526.73493975904,core
OG0000573,166003.53658536586,broadlyConserved
OG0000574,154041.36144578314,broadlyConserved
OG0000575,195309.62352941177,broadlyConserved
OG0000576,119106.92771084337,core
OG0000577,130872.27710843373,core
OG0000578,148369.65476190476,core
OG0000579,48926.68674698795,broadlyConserved
OG0000580,181499.80952380953,core
OG0000581,165603.0634920635,core
OG0000582,277440.3012048193,core
OG0000583,135396.325,core
OG0000584,102149.8375,core
OG0000585,83308.40963855422,core
OG0000586,152794.75609756098,core
OG0000587,249792.2530120482,broadlyConserved
OG0000588,37341.46428571428,core
OG0000589,71843.53658536586,core
OG0000590,80357.13253012048,core
OG0000591,208833.34146341463,core
OG0000592,105229.525,core
OG0000593,64449.12195121951,core
OG0000594,77254.46987951807,core
OG0000595,201846.0243902439,broadlyConserved
OG0000596,374130.96153846156,broadlyConserved
OG0000597,187034.31707317074,core
OG0000598,118993.59036144578,broadlyConserved
OG0000599,102120.09638554217,core
OG0000600,231834.13414634147,core
OG0000601,70063.7108433735,core
OG0000602,54981.96385542169,core
OG0000603,184791.156626506,broadlyConserved
OG0000604,187740.9756097561,core
OG0000605,146534.0843373494,core
OG0000606,136145.3734939759,core
OG0000607,126314.48192771085,core
OG0000608,93834.09638554217,core
OG0000609,33422.756097560974,core
OG0000610,131701.80722891566,broadlyConserved
OG0000611,173864.22222222222,core
OG0000612,228445.96296296295,broadlyConserved
OG0000613,170072.30487804877,broadlyConserved
OG0000614,141493.75609756098,core
OG0000615,59423.07407407407,broadlyConserved
OG0000616,99759.01219512195,core
OG0000617,165267.325,core
OG0000618,148885.40740740742,core
OG0000619,189948.93902439025,core
OG0000620,192384.1463414634,core
OG0000621,148263.94871794872,core
OG0000622,206914.95061728396,core
OG0000623,29383.3125,core
OG0000624,144596.59259259258,core
OG0000625,202061.83950617284,broadlyConserved
OG0000626,216614.62962962964,core
OG0000627,82379.3,core
OG0000628,145761.70731707316,core
OG0000629,62323.582278481015,core
OG0000630,144441.01234567902,core
OG0000631,61006.60975609756,core
OG0000632,245099.55555555556,core
OG0000633,230824.2658227848,core
OG0000634,345709.6172839506,core
OG0000635,211407.71794871794,broadlyConserved
OG0000636,221487.675,sparselyDistributedOG
OG0000637,47020.1975308642,broadlyConserved
OG0000638,113547.1948051948,core
OG0000639,143801.40277777778,broadlyConserved
OG0000640,287349.52,core
OG0000641,225255.05063291139,core
OG0000642,175421.7088607595,core
OG0000643,139271.21333333335,core
OG0000644,137948.2962962963,broadlyConserved
OG0000645,112596.5925925926,core
OG0000646,380087.075,core
OG0000647,97641.2564102564,broadlyConserved
OG0000648,111044.48684210527,broadlyConserved
OG0000649,45104.4025974026,sparselyDistributedOG
OG0000650,119084.23076923077,broadlyConserved
OG0000651,6021.625,core
OG0000652,190528.4358974359,core
OG0000653,90346.22784810126,core
OG0000654,129563.25,core
OG0000655,58407.031746031746,broadlyConserved
OG0000656,255371.3125,core
OG0000657,161751.53246753247,core
OG0000658,136557.0,core
OG0000659,236455.13924050634,broadlyConserved
OG0000660,245720.73076923078,broadlyConserved
OG0000661,115040.0,core
OG0000662,53499.6125,core
OG0000663,151464.6375,broadlyConserved
OG0000664,199249.53246753247,core
OG0000665,141942.45,core
OG0000666,124640.7125,broadlyConserved
OG0000667,31247.83116883117,core
OG0000668,71072.83544303797,core
OG0000669,38638.6375,core
OG0000670,73110.675,core
OG0000671,170237.18666666668,core
OG0000672,46665.645569620254,sparselyDistributedOG
OG0000673,83646.2564102564,core
OG0000674,213492.4358974359,broadlyConserved
OG0000675,79245.59493670886,broadlyConserved
OG0000676,110763.85714285714,core
OG0000677,198908.34615384616,broadlyConserved
OG0000678,146603.3205128205,broadlyConserved
OG0000679,146558.75,broadlyConserved
OG0000680,66000.11538461539,broadlyConserved
OG0000681,66604.60256410256,broadlyConserved
OG0000682,100287.19230769231,core
OG0000683,78352.2564102564,core
OG0000684,199816.8,core
OG0000685,171797.35897435897,core
OG0000686,277175.58666666667,core
OG0000687,130328.93506493507,broadlyConserved
OG0000688,133687.34666666668,broadlyConserved
OG0000689,17314.177215189873,core
OG0000690,129720.56410256411,core
OG0000691,322334.7012987013,core
OG0000692,198516.63636363635,core
OG0000693,228703.3417721519,core
OG0000694,120761.55696202532,core
OG0000695,271263.9487179487,broadlyConserved
OG0000696,50484.93506493507,broadlyConserved
OG0000697,174162.0,core
OG0000698,197901.27631578947,core
OG0000699,3293.75641025641,subsp2
OG0000700,115683.27272727272,sparselyDistributedOG
OG0000701,63321.0641025641,broadlyConserved
OG0000702,106483.50649350649,broadlyConserved
OG0000703,77067.38461538461,broadlyConserved
OG0000704,45536.6301369863,sparselyDistributedOG
OG0000705,221658.61538461538,core
OG0000706,120034.4,broadlyConserved
OG0000707,194661.44,core
OG0000708,188056.6923076923,broadlyConserved
OG0000709,171950.45762711865,core
OG0000710,24032.116883116883,core
OG0000711,138824.84415584416,broadlyConserved
OG0000712,304416.338028169,core
OG0000713,285654.47222222225,core
OG0000714,259500.3896103896,core
OG0000715,235639.1038961039,core
OG0000716,79622.22077922078,core
OG0000717,80467.48717948717,broadlyConserved
OG0000718,180493.7894736842,core
OG0000719,117483.15584415584,broadlyConserved
OG0000720,103758.11688311688,core
OG0000721,221294.3896103896,core
OG0000722,218479.39743589744,core
OG0000723,184503.5890410959,core
OG0000724,187549.46575342465,core
OG0000725,180483.6052631579,core
OG0000726,231501.85714285713,core
OG0000727,267655.038961039,core
OG0000728,74860.73684210527,core
OG0000729,157786.15384615384,broadlyConserved
OG0000730,219813.35897435897,broadlyConserved
OG0000731,163399.27027027027,core
OG0000732,125167.71794871795,core
OG0000733,130172.8717948718,core
OG0000734,79240.50684931508,core
OG0000735,23111.973684210527,core
OG0000736,29376.45945945946,core
OG0000737,185885.3076923077,broadlyConserved
OG0000738,43918.58974358974,core
OG0000739,106183.57142857143,core
OG0000740,69815.62337662338,core
OG0000741,197002.27631578947,core
OG0000742,158012.9189189189,core
OG0000743,138336.74025974027,broadlyConserved
OG0000744,119372.07894736843,sparselyDistributedOG
OG0000745,123528.28947368421,core
OG0000746,146809.7894736842,broadlyConserved
OG0000747,139461.52631578947,core
OG0000748,36559.39473684211,core
OG0000749,187991.48,core
OG0000750,105012.51948051948,core
OG0000751,132796.31578947368,core
OG0000752,209829.32467532466,core
OG0000753,206399.54545454544,core
OG0000754,167229.8028169014,core
OG0000755,162303.0,sparselyDistributedOG
OG0000756,67112.44155844155,core
OG0000757,109896.63888888889,core
OG0000758,211137.37288135593,core
OG0000759,139422.1168831169,core
OG0000760,104012.76315789473,core
OG0000761,148794.76315789475,core
OG0000762,127653.07792207792,core
OG0000763,134006.03896103895,core
OG0000764,96871.8552631579,core
OG0000765,95632.94736842105,core
OG0000766,100244.82894736843,core
OG0000767,171571.1168831169,broadlyConserved
OG0000768,131274.8918918919,broadlyConserved
OG0000769,225199.37333333332,broadlyConserved
OG0000770,302434.88157894736,core
OG0000771,297490.86842105264,core
OG0000772,207914.1168831169,core
OG0000773,152076.98701298703,core
OG0000774,201842.55844155845,core
OG0000775,124296.97402597402,core
OG0000776,123373.55263157895,broadlyConserved
OG0000777,55923.26666666667,core
OG0000778,136770.1038961039,core
OG0000779,207973.32394366196,core
OG0000780,67193.125,sparselyDistributedOG
OG0000781,314074.4411764706,broadlyConserved
OG0000782,98882.93333333333,core
OG0000783,107871.66216216216,core
OG0000784,118906.87837837837,core
OG0000785,166888.45333333334,core
OG0000786,66471.49333333333,core
OG0000787,64555.15789473684,broadlyConserved
OG0000788,114958.42105263157,core
OG0000789,274164.3098591549,core
OG0000790,238062.5,broadlyConserved
OG0000791,192523.25,broadlyConserved
OG0000792,89000.33783783784,core
OG0000793,138442.3108108108,core
OG0000794,128635.63513513513,core
OG0000795,282600.0,core
OG0000796,242586.18666666668,core
OG0000797,183120.12328767125,core
OG0000798,151064.06666666668,core
OG0000799,74659.96052631579,broadlyConserved
OG0000800,146450.67123287672,core
OG0000801,94359.93055555556,core
OG0000802,93111.91891891892,core
OG0000803,259600.35135135136,core
OG0000804,163854.05263157896,core
OG0000805,206428.65333333332,core
OG0000806,216763.55263157896,core
OG0000807,204356.30263157896,core
OG0000808,231702.35616438356,broadlyConserved
OG0000809,220737.43835616438,core
